API/UWI,Operator Alias (Legacy),Well/Lease Name,Well Number,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,Measured Depth (TD),Spud Date,First Prod Date,Last Prod Date,Months Produced,Cum Gas,Daily Gas,Cum Oil,Daily Oil,Latest Oil,Latest Gas,Cum Water,Cum BOE,DI Subplay,First Month Oil,First Month Gas,First 6 Oil,DI Basin,First 6 Gas,First 6 BOE,First 6 Water,DI Play,Prac IP Oil Daily,Prac IP BOE,Prac IP Gas Daily,Prac IP CFGED,Latest Water,Prior 12 Oil,Prior 12 Gas,Last Test Date,Prior 12 Water,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Gas Gatherer,Oil Gatherer,Lease Number,Gross Perforated Interval,True Vertical Depth,Field,State,District,AAPG Geologic Province,Section,Country,Township,Range,Surface Latitude (WGS84),Abstract,Surface Longitude (WGS84),Block,OCS Area,PGC Area,Operator (Reported),Survey,Entity ID,Last 12 Oil,Last 12 Gas,Last 12 Water,Other No.
42199335420000,"MAGNUM PRODUCING, LP",TICONDEROGA D,1,HARDIN (TX),YEGUA 2 SAND,OIL,INACTIVE,H,13699.00000,2015-10-08,2019-02-01,2020-08-01,16,,,5200.0000,0,7,,0.0000,5200.0000,,1275,,4666.0000,GULF COAST CENTRAL,0.0000,4666.0000,0.0000,,39.0000,39.0000,0.0000,232645.0000,0,4844,,2019-02-05,0,,,0.00,,0.00,,,,,,1275.0000,1,1275.0000,1,8.0000,1,6665.00000,6673.00000,,39.100000,2015-10-29,1,1,,PHILLIPS 66 COMPANY,27499,8.00,,KARLGORE,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,185,USA,,,30.4949117,298,-94.1759760,1,,P-330,"MAGNUM PRODUCING, LP",H&TC RR CO,130502413,356.0000,,0.0000,0
42199335230000,"MAGNUM PRODUCING, LP",TICONDEROGA B,1,HARDIN (TX),YEGUA 7000,OIL,INACTIVE,H,13205.00000,2015-05-03,,,,,,,,,,,,,,,,GULF COAST CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6572.00000,7340.00000,,42.500000,2015-07-24,1,,"MAGNUM PRODUCING, LP",SHELL TRADING (US) COMPANY,27494,768.00,,KARLGORE,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,30.4947278,,-94.1761423,,,P-330,"MAGNUM PRODUCING, LP",,130492571,,,,0
42199335230000,"MAGNUM PRODUCING, LP",TICONDEROGA B,1,HARDIN (TX),YEGUA 2 SAND,OIL,INACTIVE,H,13205.00000,2015-05-03,2018-08-01,2020-08-01,14,2199.0000,,1401.0000,1,64,,1077.0000,1768.0000,,887,,887.0000,GULF COAST CENTRAL,0.0000,887.0000,563.0000,,6.0000,6.0000,0.0000,37548.0000,64,302,1522,2019-05-30,302,,,,3193.3960,1570.00,313.1460,0.0000,,677.0000,9,887.0000,1,887.0000,1,5.0000,1,6572.00000,6576.00000,,41.700000,2015-07-24,1,1,ENTERPRISE PRODUCTS OPERATINGLLC,SUNOCO PTNRS. MKTG.&TERMINALS LP,27495,4.00,,KARLGORE,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,185,USA,,,30.4947278,298,-94.1761423,1,,P-330,"MAGNUM PRODUCING, LP",H&TC RR CO,130492570,212.0000,677.0000,212.0000,0
42025336700000,"MAGNUM PRODUCING, LP",BRADFORD,1,BEE (TX),FRIO,GAS,INACTIVE,V,10300.00000,2010-01-09,2018-11-01,2019-10-01,11,6780.0000,,214.0000,,,154.0000,0.0000,1344.0000,EAGLE FORD DRY,10,503.0000,43.0000,GULF COAST WEST,4433.0000,782.0000,0.0000,EAGLEFORD,1.0000,18.0000,99.0000,105000.0000,0,,,2018-12-02,,700.0000,1115.0000,102500.00,31682.2430,31680.00,31.5630,9.8000,0.0000,3075.0000,2,164.0000,7,543.0000,2,3.0000,2,2513.00000,2515.00000,0.560000,,2018-11-30,1,1,"MAGNUM PRODUCING, LP","PLAINS MARKETING, L.P.",286124,2.00,,"NORMANNA, E.",TX,02,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,28.5296567,165,-97.8111325,,,P-330,"MAGNUM PRODUCING, LP","GEORGE, H",130490588,214.0000,6780.0000,0.0000,0
42199335230000,"MAGNUM PRODUCING, LP",TICONDEROGA B,1,HARDIN (TX),YEGUA 2 SAND,GAS,RECLASSIFIED TO ANOTHER TYPE OF ENTITY,H,13205.00000,2015-05-03,2017-12-01,2018-06-01,7,32287.0000,,1830.0000,,721,2665.0000,554.0000,7211.0000,,23,,1109.0000,GULF COAST CENTRAL,29622.0000,6046.0000,508.0000,,2.0000,30.0000,167.0000,181065.0000,46,,,2018-01-10,,1540.0000,1750.0000,71960.00,17643.1690,17640.00,56.6790,13.9000,270.5000,6585.0000,3,721.0000,7,1579.0000,6,9.0000,6,6572.00000,6576.00000,0.650000,59.000000,2017-12-29,1,1,ENTERPRISE PRODUCTS OPERATINGLLC,SUNOCO PTNRS. MKTG.&TERMINALS LP,285550,4.00,,KARLGORE,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,185,USA,,,30.4947278,298,-94.1761423,1,,P-330,"MAGNUM PRODUCING, LP",H&TC RR CO,130426808,1830.0000,32287.0000,554.0000,0
42457308890000,"MAGNUM PRODUCING, LP",BLACK STONE MINERALS,4 C,TYLER (TX),WILCOX 6,OIL,ACTIVE,D,10100.00000,2018-04-06,2018-06-01,2020-12-01,27,127373.0000,50,89715.0000,34,335,,13633.0000,110944.0000,,2677,3107.0000,35220.0000,GULF COAST CENTRAL,53912.0000,44205.0000,198.0000,,223.0000,278.0000,329.0000,1667419.0000,209,39108,49551,2020-04-10,7272,,,1480.00,1394.9140,1420.00,716.8900,677.9000,,10362.0000,5,6998.0000,3,8698.0000,3,52.0000,3,9533.00000,9553.00000,,38.700000,2018-06-13,1,1,,SUNOCO PTNRS. MKTG.&TERMINALS LP,27418,20.00,,ELIJAH GREEN,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,30.5310003,298,-94.2544489,,,P-330,"MAGNUM PRODUCING, LP","GREEN, E",130288603,9830.0000,13712.0000,6132.0000,0
42199335270000,"MAGNUM PRODUCING, LP",TICONDEROGA A,1,HARDIN (TX),YEGUA 4-G,OIL,INACTIVE,H,14203.00000,2015-07-18,2018-09-01,2020-06-01,21,6054.0000,,24514.0000,1,5,,27711.0000,25523.0000,,1973,711.0000,12336.0000,GULF COAST CENTRAL,5386.0000,13234.0000,13945.0000,,83.0000,89.0000,32.0000,532290.0000,6,19052,6054,2019-12-07,21537,,,390.00,,250.00,,2575.3000,,1679.0000,5,3021.0000,3,3262.0000,3,20.0000,3,6801.00000,6803.00000,,41.300000,2015-10-11,1,1,,PHILLIPS 66 COMPANY,27401,2.00,,KARLGORE,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,185,USA,,,30.4950847,298,-94.1758194,1,,P-330,"MAGNUM PRODUCING, LP",H&TC RR CO,130263763,5462.0000,,6174.0000,0
42089321290000,"MAGNUM PRODUCING, LP",RANCHO CULLEN UNIT,2H,COLORADO (TX),WILCOX 7400 SD,GAS,INACTIVE,H,15532.00000,1999-04-30,2017-08-01,2020-03-01,32,564584.0000,201,6716.0000,2,10,672.0000,744.0000,100813.0000,,,1479.0000,951.0000,GULF COAST CENTRAL,69706.0000,12569.0000,91.0000,EAGLEBINE,4.0000,52.0000,289.0000,314400.0000,1,2969,245451,2019-07-05,324,700.0000,2215.0000,69460.00,92078.9700,84070.00,10.8600,14.4000,14.9000,23709.0000,24,381.0000,11,4250.0000,24,25.0000,24,7470.00000,7475.00000,0.730000,51.300000,2017-08-24,1,1,"MAGNUM PRODUCING, LP",SHELL TRADING (US) COMPANY,284976,5.00,,LOMITA,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,29.7873378,29,-96.6368995,,,P-330,"MAGNUM PRODUCING, LP","HUNT, W R",130212189,2330.0000,214544.0000,283.0000,0
42321324150000,"MAGNUM PRODUCING, LP",ROBESON,1C,MATAGORDA (TX),"FRIO A, FB-1",GAS,ACTIVE,V,8800.00000,2017-11-22,2018-04-01,2020-12-01,33,707940.0000,517,5873.0000,2,140,14732.0000,0.0000,123863.0000,,170,8278.0000,2373.0000,GULF COAST CENTRAL,176285.0000,31754.0000,0.0000,,16.0000,197.0000,1089.0000,1184710.0000,0,1743,259678,2018-05-03,0,2115.0000,2215.0000,68340.00,267965.9090,120540.00,3.7320,14.6000,9.5000,35765.0000,4,619.0000,4,6580.0000,4,39.0000,4,7641.00000,7647.00000,0.630000,56.600000,2018-04-24,1,1,"MAGNUM PRODUCING, LP","PLAINS MARKETING, L.P.",284977,6.00,,PALACIOS,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,28.7354867,162,-96.2283754,,,P-330,"MAGNUM PRODUCING, LP","GOODWIN, L",130212169,704.0000,188648.0000,0.0000,0
42321324150000,"MAGNUM PRODUCING, LP",ROBESON,1T,MATAGORDA (TX),MELBOURN E-3 SEG C,GAS,INACTIVE,V,8800.00000,2017-11-22,2018-04-01,2020-06-01,25,324268.0000,26,2360.0000,0,,22.0000,4177.0000,56405.0000,,,3799.0000,453.0000,GULF COAST CENTRAL,73067.0000,12631.0000,942.0000,,3.0000,95.0000,553.0000,570419.0000,0,1772,195807,2018-05-03,2521,235.0000,700.0000,186210.00,209747.7480,137400.00,4.7680,5.4000,0.0000,20082.0000,14,258.0000,6,3434.0000,14,21.0000,14,8666.00000,8672.00000,0.640000,51.000000,2018-04-24,1,1,"MAGNUM PRODUCING, LP","PLAINS MARKETING, L.P.",285001,6.00,,PALACIOS,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,28.7354867,162,-96.2283754,,,P-330,"MAGNUM PRODUCING, LP","GOODWIN, L",130212020,444.0000,93128.0000,1200.0000,0
17079205450000,"MAGNUM PRODUCING, LP",GORDON HOLDINGS LLC,001,RAPIDES (LA),,DRY,P & A,V,8500.00000,2018-08-24,,,,,,,,,,,,,,,,GULF COAST EAST,,,,TUSCALOOSA MARINE SHALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,WILDCAT-NO LA MONROE DIST,LA,LAFAYETTE,TEXAS & LOUISIANA GULF COAST BASIN,06,USA,01N,02W,31.0882006,,-92.6039690,,,P-310,"MAGNUM PRODUCING, L.P.",,130152308,,,,251222
42245328580000,"MAGNUM PRODUCING, LP",MCLEAN UNIT 3,3,JEFFERSON (TX),DISCORBIS B,OIL,INACTIVE,V,6810.00000,2017-07-23,2018-05-01,2020-04-01,19,27607.0000,18,1091.0000,,,460.0000,219.0000,5692.0000,,183,5477.0000,986.0000,GULF COAST CENTRAL,5477.0000,1899.0000,198.0000,,8.0000,8.0000,0.0000,49800.0000,0,1080,23456,2018-06-06,216,,,0.00,377363.6360,25300.00,2.6500,,0.0000,10064.0000,10,385.0000,3,1713.0000,10,10.0000,10,5914.00000,5928.00000,,40.000000,2017-10-05,1,1,,PHILLIPS 66 COMPANY,27348,14.00,,BIG HILL,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,373,USA,,,29.7558957,551,-94.2565418,,,P-330,"MAGNUM PRODUCING, LP",EL&RR RR CO,130148811,11.0000,4151.0000,3.0000,0
42199335230000,"MAGNUM PRODUCING, LP",TICONDEROGA GAS UNIT B,1H,HARDIN (TX),UPPER WILCOX CONS,OIL,INACTIVE,H,13205.00000,2015-05-03,,,,,,,,,,,,,,,,GULF COAST CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10067.00000,13087.00000,,42.800000,2015-07-24,1,,ENTERPRISE PRODUCTS OPERATINGLLC,"FIRST RIVER ENERGY, LLC",27318,3020.00,,MAPLE SLOUGH,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,185,USA,,,30.4947278,298,-94.1761423,1,,P-330,"MAGNUM PRODUCING, LP",H&TC RR CO,130108357,,,,0
42245328580000,"MAGNUM PRODUCING, LP",MCLEAN  UNIT 3,3,JEFFERSON (TX),MARGINULINA,GAS,WORKED OVER TO ANOTHER ZONE,V,6810.00000,2017-07-23,2017-10-01,2018-04-01,7,156072.0000,,670.0000,,40,2964.0000,0.0000,26682.0000,,175,36966.0000,630.0000,GULF COAST CENTRAL,153108.0000,26148.0000,0.0000,,4.0000,198.0000,1162.0000,1188667.0000,0,,,2017-10-07,,1510.0000,1575.0000,266210.00,232943.2840,232940.00,4.2930,3.8000,13.5000,36966.0000,1,175.0000,1,6336.0000,1,38.0000,1,6560.00000,6588.00000,0.610000,54.400000,2017-10-05,1,1,"MAGNUM PRODUCING, LP","GULFMARK ENERGY, INC.",283658,28.00,,BIG HILL,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,373,USA,,,29.7558957,551,-94.2565418,,,P-330,"MAGNUM PRODUCING, LP",EL&RR RR CO,130046695,670.0000,156072.0000,0.0000,0
42089321290000,"MAGNUM PRODUCING, LP",RANCHO CULLEN UNIT,2H,COLORADO (TX),,GAS,INACTIVE,H,15532.00000,1999-04-30,,,,,,,,,,,,,,,,GULF COAST CENTRAL,,,,EAGLEBINE,,,,,,,,2017-09-26,,1990.0000,2215.0000,,,,,,,,,,,,,,,7470.00000,7475.00000,0.730000,49.000000,2017-08-24,1,,"MAGNUM PRODUCING, LP",ENTERPRISE CRUDE OIL LLC,283557,5.00,,WILDCAT,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,29.7873378,29,-96.6368995,,,P-330,"MAGNUM PRODUCING, LP","HUNT, W R",130046624,,,,0
42481353860000,"MAGNUM PRODUCING, LP",RIEGER,1,WHARTON (TX),5375,OIL,INACTIVE,V,7020.00000,2017-03-20,2017-08-01,2018-10-01,14,840.0000,,5524.0000,,11,,8500.0000,5664.0000,,1063,,3569.0000,GULF COAST CENTRAL,0.0000,3569.0000,5492.0000,,13.0000,13.0000,0.0000,75800.0000,17,2162,,2017-08-12,3327,,,0.00,249.8510,150.00,4002.3810,,,124.0000,2,1063.0000,1,1063.0000,1,6.0000,1,5600.00000,5605.00000,,27.000000,2017-08-02,1,1,"MAGNUM PRODUCING, LP","GULFMARK ENERGY, INC.",27279,5.00,,JARVIS CREEK,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,4,USA,,,29.2155865,11,-96.0424771,,,P-330,"MAGNUM PRODUCING, LP","CASTLEMAN, S",130039621,3362.0000,840.0000,5173.0000,0
42457308840000,"MAGNUM PRODUCING, LP",BLACK STONE MINERALS,3 C,TYLER (TX),WILCOX 3,OIL,ACTIVE,V,10770.00000,2017-05-21,2017-08-01,2020-10-01,36,50916.0000,8,33392.0000,3,35,,0.0000,41878.0000,,2158,962.0000,11830.0000,GULF COAST CENTRAL,24069.0000,15842.0000,0.0000,,27.0000,41.0000,85.0000,243700.0000,0,9308,5813,2017-08-13,0,,,3200.00,1771.5800,1520.00,564.4680,312.9000,,6991.0000,5,3093.0000,5,4258.0000,5,26.0000,5,9020.00000,9038.00000,,42.500000,2017-08-02,1,1,,SUNOCO PTNRS. MKTG.&TERMINALS LP,27285,18.00,,ELIJAH GREEN,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,30.5317505,298,-94.2591536,,,P-330,"MAGNUM PRODUCING, LP","GREEN, E",130039614,1506.0000,2668.0000,0.0000,0
42457308840000,"MAGNUM PRODUCING, LP",BLACK STONE MINERALS,3 T,TYLER (TX),WILCOX 10,GAS,INACTIVE,V,10770.00000,2017-05-21,2017-08-01,2017-11-01,4,16246.0000,,3676.0000,,138,1516.0000,117.0000,6384.0000,,2439,9581.0000,,GULF COAST CENTRAL,,,,,24.0000,41.0000,97.0000,243633.0000,11,,,2017-08-07,,2195.0000,2960.0000,3970.00,4419.4780,4420.00,226.2710,251.8000,91.0000,9581.0000,1,2439.0000,1,4036.0000,1,24.0000,1,9882.00000,9892.00000,0.730000,50.900000,2017-08-02,1,1,"MAGNUM PRODUCING, LP",SUNOCO PTNRS. MKTG.&TERMINALS LP,283360,10.00,,ELIJAH GREEN,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,30.5317505,298,-94.2591536,,,P-330,"MAGNUM PRODUCING, LP","GREEN, E",130039613,3676.0000,16246.0000,117.0000,0
42457308750000,"MAGNUM PRODUCING, LP",BLACK STONE MINERALS,2T,TYLER (TX),WILCOX 7,OIL,ACTIVE,V,9975.00000,2016-07-09,2017-02-01,2020-12-01,47,113376.0000,44,53349.0000,36,1075,1525.0000,75855.0000,72245.0000,,3895,7477.0000,16883.0000,GULF COAST CENTRAL,40066.0000,23561.0000,24958.0000,,95.0000,141.0000,276.0000,848129.0000,1338,6924,11426,2020-01-20,10236,,,2890.00,1208.7730,2130.00,827.2850,346.2000,704.9000,8971.0000,6,3895.0000,1,5141.0000,1,31.0000,1,9470.00000,9636.00000,,46.300000,2017-02-02,1,1,,SUNOCO PTNRS. MKTG.&TERMINALS LP,27236,166.00,,ELIJAH GREEN,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,30.5311082,298,-94.2553577,,,P-330,"MAGNUM PRODUCING, LP","GREEN, E",129914850,12880.0000,15569.0000,16030.0000,0
42457308750000,"MAGNUM PRODUCING, LP",BLACK STONE MINERALS,2C,TYLER (TX),WILCOX 6,GAS,ACTIVE,V,9975.00000,2016-07-09,2017-02-01,2020-12-01,47,632741.0000,28,85693.0000,1,106,878.0000,1086.0000,191150.0000,,6733,43002.0000,34185.0000,GULF COAST CENTRAL,279159.0000,80712.0000,481.0000,,205.0000,450.0000,1468.0000,2699355.0000,2,11137,35388,2017-02-07,60,2380.0000,2715.0000,7160.00,14172.2750,7380.00,70.5600,139.8000,120.7000,49251.0000,3,6733.0000,1,13947.0000,2,84.0000,2,9318.00000,9332.00000,0.730000,54.400000,2017-02-02,1,1,"MAGNUM PRODUCING, LP",SUNOCO PTNRS. MKTG.&TERMINALS LP,282350,14.00,,ELIJAH GREEN,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,30.5311082,298,-94.2553577,,,P-330,"MAGNUM PRODUCING, LP","GREEN, E",129914849,743.0000,10530.0000,18.0000,0
